,meanX,meanY,medianX,medianY,stdX,stdY,quantiles25X,quantiles25Y,quantiles50X,quantiles50Y,quantiles75X,quantiles75Y,minX,minY,maxX,maxY,label
24,764.8271500690868,475.3904303402096,612.795140618558,452.383485560834,388.88933840990006,213.28277238411863,421.57404065308197,311.71297180930577,612.795140618558,452.383485560834,1086.183643241305,679.224944918505,94.310117174283,117.091102748691,1745.90291955801,832.168476280868,1
25,787.6076506143642,471.44397029557854,608.0283540199259,439.635905873593,383.6299025007841,216.16341485795962,470.18586961755545,277.71436521794897,608.0283540199259,439.635905873593,1196.3696103178424,694.6697102999915,275.442983205287,76.2335282935705,1468.87587810038,811.050198429279,1
26,809.169395275409,484.8348643713382,647.175035874737,432.488693680868,385.27575577777975,200.44484586507937,538.453497942348,359.586006296524,647.175035874737,432.488693680868,1249.0829522250601,681.395626016589,186.298098488887,120.236945053236,1502.83231111377,828.404068411938,1
27,779.6572672593808,468.3409782896231,624.5297295702875,418.45672496796,387.9564473049851,207.53569723587452,430.2582827388385,315.370768262824,624.5297295702875,418.45672496796,1084.10340679888,694.239836732852,342.013063351487,98.2053103090433,1608.76972103149,926.148222140277,1
28,797.8288480242193,477.6448468774367,646.8117230034055,442.1218786049985,386.3577372061658,212.01683113520568,449.73543709758974,326.3431827539558,646.8117230034055,442.1218786049985,1189.743509121095,684.3393038925267,14.9178147926211,84.4851390247992,1488.80057849026,849.20768174248,1
29,784.4905321095584,471.8374026034164,661.161580832607,423.536013497165,366.417307097105,203.44922185588965,508.755111330279,311.673706405145,661.161580832607,423.536013497165,1090.2830036787775,692.140612639757,207.698384649399,124.615629456141,1648.71024860985,933.954020350292,1
30,770.677290431386,469.45014559486907,634.5348728107125,437.341841873963,380.4463583656506,206.11844791169426,420.19064419423455,327.938646208055,634.5348728107125,437.341841873963,1143.0553829687249,684.860168348481,157.357381773003,134.985631092641,1586.90996251612,902.499859769874,1
31,775.7711132696519,467.82926040585534,633.625135693063,427.40077223947,370.505533456417,203.21915138949154,435.466555448209,311.589821320808,633.625135693063,427.40077223947,1144.22922608003,692.360619700509,169.116016366245,126.081035807586,1428.2863304893,785.852459767332,1
32,800.9632365894387,487.12672520745866,641.638832875768,437.6995048288325,392.41084925888043,203.86460432795988,454.0419877686543,372.7291066308955,641.638832875768,437.6995048288325,1202.72979868432,679.0987781416487,151.964620575819,142.02935261265,1500.73577803323,863.517288233273,1
33,778.6399911755394,471.481474896319,625.192302177902,467.054581050666,386.1449483552764,210.8360037127837,439.01616214096,387.136090587264,625.192302177902,467.054581050666,1206.15437921311,663.264967599817,300.972951024399,27.778225237826,1461.83409699323,798.570611759863,1
34,768.1919953472649,434.0725496268676,643.369841096853,412.08491538454,381.30087985152795,206.49676841901857,462.99648247809847,295.231948066373,643.369841096853,412.08491538454,1153.78330168556,628.5676910524301,298.767511579547,72.3471595622214,1480.9650069545,870.362061339197,1
35,773.9884936473277,448.00518133976294,610.089745607355,429.282786784696,389.8726991605986,209.35957342004824,454.012979708503,333.469401822438,610.089745607355,429.282786784696,1252.64456699704,614.285289577376,259.351890478526,22.6202716964366,1559.09674609618,819.585830062272,1
36,776.133587184216,453.93079310894626,595.053843760988,427.625096543161,382.8977526003169,203.0028185483631,469.759473986597,337.484682243003,595.053843760988,427.625096543161,1196.13232923752,607.240432029308,124.399750661945,41.7532481399501,1507.86404172685,790.419799439092,1
37,767.687389081344,443.61712598227143,600.593712529042,434.307426076451,388.04657702914994,209.78009016411923,439.855448077605,331.488831906552,600.593712529042,434.307426076451,1144.22603900244,614.226327284982,269.888051560386,86.5672919327169,1495.17108223249,813.183181937154,1
38,776.4667912328848,460.39220691658045,620.623484985846,441.071824683644,394.49098434698357,222.08945930249746,453.805388071927,360.92277555660127,620.623484985846,441.071824683644,1236.65580789265,646.496279932788,132.054224469138,24.8008493818463,1474.9275017689,1546.70290255282,1
39,769.769342087366,446.1020500445284,615.574681191604,419.506801200728,392.68800845926313,213.6290364979677,407.616653996637,364.293437239373,615.574681191604,419.506801200728,1144.6170732755,656.7287381048537,87.8338319692949,12.6265598433239,1482.83226891569,869.544091788607,1
40,771.2712020803484,450.8529070033966,618.996763749293,437.053505174673,392.99497540384783,212.15319399231475,412.284335624324,340.448353525298,618.996763749293,437.053505174673,1203.031441182415,657.070405528191,132.800841963814,10.1290728499181,1489.29784960018,791.30886428956,1
41,779.2553362487555,445.52402408886036,620.775385086695,405.054885677275,395.66923165192753,223.28799351544097,474.718974832826,307.750609720841,620.775385086695,405.054885677275,1225.3996872469,650.004179830869,210.922918669055,48.3240400289872,1524.20424240841,809.980216392783,1
42,754.5670296725197,470.746093715412,572.208504389978,493.025025810235,382.50332373998964,206.69084276855122,432.245807176017,377.516366142698,572.208504389978,493.025025810235,1216.70411676216,625.371786545596,103.68092172382,54.7980935507869,1425.74688785934,796.317540186039,1
43,742.4664772482539,460.1456153264889,585.528506802302,467.42340286412,395.4316182152346,200.12731514265727,426.872145467009,354.51305230244,585.528506802302,467.42340286412,1101.25749230617,641.47808362188,49.467112799246,39.1594249237611,1468.0253923494,890.314961241143,1
44,778.928130276911,471.7937604931818,602.306867864579,449.213291777852,389.19404722203717,201.08329969315562,444.392599879961,360.430691822533,602.306867864579,449.213291777852,1156.44759486572,663.43238758963,290.045299059999,75.5223955826298,1496.60111388947,799.097671119764,1
45,757.6537735298664,461.3735598972984,600.215229486445,446.086028644339,385.6683293404945,210.30408500503904,422.416440346993,353.173682946588,600.215229486445,446.086028644339,1228.37732092101,643.193976868408,243.358544971863,43.0202460009633,1469.77863453325,800.777582673996,1
46,760.4045774544895,461.29856048895317,631.0595408677,468.291048305019,391.2514958009447,200.4186659822319,444.331627860039,358.70465320823973,631.0595408677,468.291048305019,1206.16642674792,662.9883358189807,92.0732794309572,56.9803437246702,1446.48891122575,745.801164891056,1
47,747.9895962037709,462.45144860528427,579.791220132518,448.841767597039,388.0600958886629,204.94472096208176,436.296380248117,332.676365660462,579.791220132518,448.841767597039,1214.79622262234,642.528893285314,75.9753219436219,49.7314002587955,1440.87337924862,778.50344641578,1
48,763.8851846654904,468.4262023972792,600.577514397591,475.820702375449,389.4262055979443,207.47906606416907,487.156837951082,367.541544935437,600.577514397591,475.820702375449,1263.4377284879,654.11898565406,56.7948844303252,20.5830996172725,1464.36532602882,797.922045567168,1
49,766.7542746022567,465.34389630418787,592.465519239048,452.29003438755,393.7446144820739,207.38128550097002,452.683105672613,308.663106195583,592.465519239048,452.29003438755,1269.82600034408,648.268164441126,96.5835058867455,67.9324524381241,1446.80740788347,856.648634881443,1
50,763.3575094054679,476.1817266042755,587.826757580295,468.23395172205153,398.6798050932529,209.46322573554664,426.7631770674,334.379588164813,587.826757580295,468.23395172205153,1179.01938219426,682.549892610078,70.6626391187638,66.2264862171454,1480.24930016257,782.029221154336,1
51,772.5590019153359,453.12968294402395,591.973648523507,430.45685603823,384.4149987644449,202.7526201906132,467.031070277078,330.419039654563,591.973648523507,430.45685603823,1156.17346646647,658.006783228732,294.156559808715,97.043002041799,1450.93573644775,824.90313816781,1
52,767.146970476121,460.96410743783645,604.59720659488,459.375710096176,391.8085119667482,195.17577946235275,446.60015514388,333.427635334701,604.59720659488,459.375710096176,1184.07748467497,665.418129742688,107.893494695078,82.578203536486,1471.5674758992,786.217527011159,1
53,782.9973342816801,443.85741397096854,627.7015156102665,422.509266751821,397.0352675963807,226.96642858195762,427.585935671592,248.781634149033,627.7015156102665,422.509266751821,1251.8828279483873,657.473328763228,187.828751679572,-37.7128525822375,1517.26110208783,782.291688437084,1
54,771.9921568814405,452.38913393294075,609.4906460983575,446.490134736982,385.6192824981979,220.81659222153488,470.755829383765,301.8641619519307,609.4906460983575,446.490134736982,1220.8971909918425,625.8865952765738,254.007974399884,31.4770634694356,1475.29188057575,932.675358883033,1
55,797.1868806254662,387.1262975287706,644.246957776784,359.922132031159,406.02502930912095,185.51005994365048,506.562622839652,254.47430334487973,644.246957776784,359.922132031159,1226.75871850266,505.9446033316673,209.948111167226,36.9803906081471,1570.75866240802,783.344151063581,0
56,664.6553858378028,691.1352179435125,359.097840452268,655.663347330126,548.5454097536445,358.84467732087177,311.893355560649,407.031581753242,359.097840452268,655.663347330126,1260.19097090263,758.283994447741,-342.032451748305,-63.9861713303619,1714.08473796112,1576.8108623352,0
57,619.3331367790973,526.3501932132606,625.653878654272,407.25584977773,329.2855997202664,339.4016661265431,310.837149255624,182.89725305097602,625.653878654272,407.25584977773,807.4892530998852,852.401686330246,20.8208932192402,100.416702747957,1387.36327864541,1139.74923255997,0
58,830.4616601237813,585.6020512261421,884.021703014109,428.281056753769,475.5051387366838,391.0208734427164,294.986029393914,316.681542523888,884.021703014109,428.281056753769,1303.66592534725,931.921284880757,186.876949415779,-69.2618708592601,1649.60243390187,1270.61616431533,0
59,655.7867787550832,419.720500819612,570.770931918335,412.923066300019,347.973327100413,228.62708630563486,364.7486412778775,241.222276277013,570.770931918335,412.923066300019,815.21911090637,619.03589485686,76.5000393916027,-4.0505682564136,1480.58235450095,926.525858928765,0
60,1047.3375013737996,479.29726149996526,1220.19001445754,447.387354778303,422.74508043805446,216.6852928248529,773.693256469217,334.986688983265,1220.19001445754,447.387354778303,1418.44213100355,633.848117745246,89.5284821209139,41.8633208580225,1598.51113501669,968.149995333209,0
61,1084.091758758867,433.8088961738038,1166.8448135696,390.769431470719,310.0425928524096,221.99503490059513,823.924623541048,257.513775973318,1166.8448135696,390.769431470719,1355.97364280685,587.543936656938,527.236435724827,78.5744489956511,1610.72276056612,982.807902236301,0
62,687.0772343052429,399.29748005633405,646.421724342661,355.240761424955,353.5612556505005,239.72487994743207,394.6111283962655,233.0557442882705,646.421724342661,355.240761424955,846.264091711345,618.6980510083065,113.917504044499,46.6457624027322,1443.85385045819,835.247830297946,0
63,719.9351470872326,433.87259249735763,577.382378633284,379.934789192685,429.5007408950232,254.19806253903357,336.048191390639,272.308786397558,577.382378633284,379.934789192685,1066.80328847072,682.398441631896,165.521383997373,-36.5492785289054,1572.8627742333,1213.95800445144,0
64,816.2811860168024,469.74676334804434,709.26219924213,483.281173355062,455.96710542733877,284.19086319685994,365.798491479383,166.084615994238,709.26219924213,483.281173355062,1338.05331701845,693.003966172235,193.247675949701,-16.6521484294132,1570.37928308666,902.261876573624,0
65,789.3173424443895,523.8031376059399,810.94633323341,437.508044279362,583.7721555331212,477.0229030931232,282.278040632418,33.4210436104408,810.94633323341,437.508044279362,1128.9945187324,887.976963781184,-110.094316363385,-202.071159951922,2072.97275314438,1494.2705300515,0
66,700.5079491460762,581.5616697719475,699.7129910681681,670.921185040478,581.9578689627627,402.5392109156651,299.32407669463896,133.336126231135,699.7129910681681,670.921185040478,1121.73038604786,875.75619571455,-356.002998827146,-211.255242499602,2118.61926502431,1221.27922770139,0
67,427.610019367798,392.8932532289138,356.244567183658,405.788020055862,253.45321254068227,289.29057102909843,276.057818110253,104.47700697156,356.244567183658,405.788020055862,609.0685970308923,646.701984271082,-126.189123988925,-133.837610361755,862.196037497134,908.46793848593,0
68,835.1208609695154,322.2073121211021,887.808861415088,360.228739455671,504.86440826542594,167.2955885664398,355.4301475308305,173.8400640165035,887.808861415088,360.228739455671,1269.7208426975676,395.513050104978,106.068001774892,-1.4661256640001,1657.37486980696,845.565568040855,0
69,716.0865531891097,444.6694305503856,581.7835934729425,415.055961304918,554.8939690916502,328.387889126088,315.565225056345,115.213417397526,581.7835934729425,415.055961304918,1153.37011280963,692.063335134474,-144.042093581488,-134.455981032653,1917.60661168883,1222.5430079944,0
70,982.0280994543633,395.75003144103175,1049.18995542739,359.14168722201,420.34052387457297,319.683243325675,765.4476662240312,94.176461224402,1049.18995542739,359.14168722201,1300.5638983439876,740.042168066347,97.7296505554729,-108.052275124759,1715.96205417478,1162.04191291964,0
71,834.6102018611103,439.54392855878285,764.879490799348,391.524800732888,410.68120755890186,330.7495519524627,508.120974634662,130.502768884163,764.879490799348,391.524800732888,1236.00520786793,697.536666781725,64.0318108711072,-192.962038551258,1693.03232849094,1121.79190719563,0
72,888.2232079037942,425.6090059033273,823.4293069597895,407.618075809151,437.4244624053433,260.7110913978655,549.046635832573,218.151746532364,823.4293069597895,407.618075809151,1279.4055291729326,612.806166741706,76.5029379007388,-130.97266085952,1875.23234392069,887.534004504351,0
73,590.9385000539621,456.23900523210466,544.0384036763285,551.546657013839,312.68280131116137,261.3006725294104,344.367779538244,179.69289932714,544.0384036763285,551.546657013839,741.4899527459092,682.774674127286,42.4701252290677,-26.6049617511119,1503.40641130346,899.805152703396,0
74,629.1434406761323,481.8074567897286,505.25285334229704,464.4806203097995,358.77080994699077,267.0838786561522,448.41043850111475,219.28451269421777,505.25285334229704,464.4806203097995,975.687664585202,758.9761858171839,-96.8239290855657,35.7645595228541,1215.63149426999,1145.76364126011,0
75,877.9039270153319,545.8980542511878,845.949659040678,681.344993432689,445.79392893727015,345.8855306143745,486.714242206083,146.423866305811,845.949659040678,681.344993432689,1218.5910560916,892.38622254079,62.2143357293611,36.4108957412465,1639.98562195651,1105.58900378405,0
76,939.4944519050014,316.46365090044594,1109.04735867357,208.331585075869,602.4430012770003,264.10933106776986,353.800743380418,131.857826032374,1109.04735867357,208.331585075869,1683.81749114594,373.826659595245,5.02562364069129,80.3074501668977,1925.53396152992,991.777988482009,0
77,877.8711163926281,358.4281457840328,786.957508771106,133.941376911559,628.2832280163874,365.1537144332411,311.583441636546,62.7210564303307,786.957508771106,133.941376911559,1167.445320568415,849.597835565792,-184.29134072738,27.7496203316596,1883.00698348483,1208.09810057529,0
78,1073.3415622689936,422.69426229607404,1214.22973215796,321.1097615987745,500.52165664414645,329.5835789626055,675.3726337914252,113.79964619769099,1214.22973215796,321.1097615987745,1589.00472181141,768.9595742998495,176.64185350187,35.9879681277642,1837.82777817688,995.270825475113,0
79,883.6964302097097,402.10093595892585,646.50499203837,203.622721674624,509.02714085062587,352.6355552393771,376.269000419428,98.8052681730631,646.50499203837,203.622721674624,1471.29409703497,865.599496187882,67.1543145958801,57.6816743716926,1649.7392142935,955.939666138934,0
80,627.1544241203941,587.5960341106937,662.840948220713,781.045908392675,614.9138163410346,366.7080538513103,55.4340962869064,148.842180780923,662.840948220713,781.045908392675,1106.42163090585,909.751479210718,-314.528433032431,43.4695965289176,1732.14588185878,1090.49405086338,0
81,844.6808760754053,451.43458734700187,913.560512643077,499.23013567183295,579.1698341836244,328.91625657733414,267.5790888572675,98.3642262402971,913.560512643077,499.23013567183295,1345.35766057304,819.5741986690127,15.140376696579,29.488284026092,2046.267022978,1180.51437020471,0
82,370.0199461582828,445.98941219053364,347.6498587457495,389.647499570881,133.05670309652962,284.9321357614744,325.67420518570924,228.655387693404,347.6498587457495,389.647499570881,363.73164153057553,659.2096123812514,22.4427073555516,68.1765401660982,1220.29656429263,1128.23247032067,0
83,1398.0679813475758,901.6679159896447,1442.621578376705,907.1601722514636,198.93382067237292,123.20653447983503,1367.8090526305275,858.2946627144375,1442.621578376705,907.1601722514636,1475.86576929364,974.470450817756,201.88405254667,401.501311330801,1581.93843435494,1178.764549932,0
84,674.1866153820039,569.4056408652865,749.255884856836,713.306058657794,358.1650853240471,325.5573571298943,371.21450079526926,175.95976519966,749.255884856836,713.306058657794,1005.4531944242375,828.2111387956413,51.4213423486207,93.1526053396998,1397.41177333616,1192.68945599334,0
85,834.7758750598817,485.8265387701331,736.805096448608,403.533838430933,505.80332493574065,352.7852453783551,343.35730560648324,133.218721137299,736.805096448608,403.533838430933,1337.44007216205,889.848084095348,-76.5806300529497,-31.991913782701,1601.37458740371,1279.7074317336,0
86,673.3137444748755,383.28562882554905,581.779834477352,364.6724632050825,408.55111353444545,188.61871244083443,340.918843906094,246.356544210577,581.779834477352,364.6724632050825,922.761335932293,445.401437894283,-11.4755017871634,91.0945234946764,1507.02078162055,964.103338984244,0
87,463.59389639821705,246.3746009000678,295.19090646348,178.659976101379,365.9276404988928,191.03914856062985,271.334880493691,132.142990786715,295.19090646348,178.659976101379,368.554067370213,276.081952221219,155.513874801491,17.0790162319593,1453.74341826403,793.34103675406,0
88,364.850045889895,159.5014481695961,375.768611563688,107.965753180775,81.89048461958546,133.39422987313637,367.57682750195,98.7651224167283,375.768611563688,107.965753180775,382.049321245316,131.162437421351,-214.78061308092,71.2649682091976,701.379308955815,1075.53007528729,0
89,776.8453250010357,491.4178670130091,876.693477063855,604.082030117567,385.31798065908015,325.24055389108975,398.024718857534,99.2325598624877,876.693477063855,604.082030117567,1009.73381490703,811.920017644888,67.9386811103092,6.01443988699474,1420.09361499773,957.061275978772,0
90,695.735674659564,514.4989730369972,535.0074143363795,322.570325951619,459.18936159638656,420.76671378079186,284.8714474834845,137.323079459711,535.0074143363795,322.570325951619,957.1373231893135,852.030896122562,214.474845603509,57.1113793681826,1554.76494240606,1741.05291480791,0
91,795.7872631468396,449.8520522684743,666.0874245855945,371.15793698424,455.19189792338295,226.4904990098112,387.76486280143604,267.12874722735,666.0874245855945,371.15793698424,1273.83070936591,553.234382642451,107.208475877858,173.14288462541,1601.48705648866,904.630984973617,0
92,867.5243928828359,555.7886982216834,905.242306769191,670.941383029518,299.33187235587843,298.0333310032667,645.7444803424575,163.51804445713,905.242306769191,670.941383029518,1026.64393782352,784.868416892548,130.81668683907,28.3188393189365,1555.31422636357,909.789899983085,0
93,585.5432439508414,432.8774413358069,425.9557141919555,406.4891985260325,418.28437159848914,244.7189276118085,283.824802996108,230.40654601228775,425.9557141919555,406.4891985260325,735.4314188121975,591.1081240459339,2.32820192793944,50.6150094498972,1668.48183806377,895.956883338759,0
94,767.6379069630726,436.682380287759,444.256312368681,437.420590765856,504.23402289965816,334.8092035118457,358.026907659193,102.7518088122125,444.256312368681,437.420590765856,1402.44187742757,766.822483770151,210.780029244087,44.5788806702698,1584.43482328517,1158.07994886007,0
95,796.8985025751718,530.1099780609649,786.16968850493,485.3401487795985,402.6663227706822,210.36470770163137,406.22109662751177,322.22876692187674,786.16968850493,485.3401487795985,1200.1708617634874,719.4152335339902,57.3659662195846,181.31218181272,1533.49236136305,1385.01630721901,0
96,836.6546294937183,378.92472388480934,779.889064369338,411.074635014335,380.61755924284864,121.37123172974607,535.63058107155,266.046425390246,779.889064369338,411.074635014335,1095.56131667859,464.6599573664505,171.85807748955,170.501042927092,1627.23823054513,617.836802187764,0
97,402.8218556412553,158.38346968065815,377.4273810063815,107.278323500385,124.75897367465552,134.05166194080235,368.52003758096174,91.08196034156356,377.4273810063815,107.278323500385,387.83256302053076,156.19528106431852,61.2810305450951,49.4891383056893,909.280717294205,1669.53258425264,0
98,961.9042304988255,568.7063919418774,995.952749570878,712.5917084885085,465.95910403326076,346.66009100873026,503.6835201208843,164.766032023588,995.952749570878,712.5917084885085,1415.649732802865,883.8390265634843,134.993441460931,83.7385664048277,1677.85996476905,1299.25524710839,0
99,720.1247369088559,1008.6459671404103,619.410108323068,1115.48849360516,595.8034540520134,475.535120357196,260.527156293618,666.229578128862,619.410108323068,1115.48849360516,1269.81032327345,1213.95888207713,-178.576459543362,78.4424927639626,1789.36930708192,1937.32751467423,0
